date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:37:24	18059/18059	---MCZ	200	added ('OK')	text/html	etag:W/%22637d7308-468b%22	http://hitsz-cslab.gitee.io/os-labs/lab1/part1/	D:/webs/hitsz/hitsz-cslab.gitee.io/os-labs/lab1/part1/index.html	(from http://hitsz-cslab.gitee.io/os-labs/)
20:37:25	33105/33105	---MCZ	200	added ('OK')	text/html	etag:W/%22637d7308-8151%22	http://hitsz-cslab.gitee.io/os-labs/lab1/part2/	D:/webs/hitsz/hitsz-cslab.gitee.io/os-labs/lab1/part2/index.html	(from http://hitsz-cslab.gitee.io/os-labs/)
20:37:39	165548/165548	---MCZ	200	added ('OK')	text/plain	etag:W/%22637d7308-286ac%22	http://hitsz-cslab.gitee.io/os-labs/css/fonts/fontawesome-webfont.ttf?b06871f281fee6b241d60582ae9369b9	D:/webs/hitsz/hitsz-cslab.gitee.io/os-labs/css/fonts/fontawesome-webfont1bb7.ttf	(from http://hitsz-cslab.gitee.io/os-labs/css/theme.css)
20:37:40	25640/25640	---MCZ	200	added ('OK')	text/html	etag:W/%22637d7308-6428%22	http://hitsz-cslab.gitee.io/os-labs/lab1/part3/	D:/webs/hitsz/hitsz-cslab.gitee.io/os-labs/lab1/part3/index.html	(from http://hitsz-cslab.gitee.io/os-labs/)
20:38:00	309192/309192	---M--	200	added ('OK')	application/font-woff	etag:%22637d7308-4b7c8%22	http://hitsz-cslab.gitee.io/os-labs/css/fonts/lato-normal.woff?27bd77b9162d388cb8d4c4217c7c5e2a	D:/webs/hitsz/hitsz-cslab.gitee.io/os-labs/css/fonts/lato-normal86b9.woff	(from http://hitsz-cslab.gitee.io/os-labs/css/theme.css)
20:38:00	182708/182708	---MCZ	200	added ('OK')	text/plain	etag:W/%22637d7308-2c9b4%22	http://hitsz-cslab.gitee.io/os-labs/css/fonts/lato-normal.woff2?bd03a2cc277bbbc338d464e679fe9942	D:/webs/hitsz/hitsz-cslab.gitee.io/os-labs/css/fonts/lato-normal96f5.woff2	(from http://hitsz-cslab.gitee.io/os-labs/css/theme.css)
20:38:01	13466/13466	---MCZ	200	added ('OK')	text/html	etag:W/%22637d7308-349a%22	http://hitsz-cslab.gitee.io/os-labs/lab1/part4/	D:/webs/hitsz/hitsz-cslab.gitee.io/os-labs/lab1/part4/index.html	(from http://hitsz-cslab.gitee.io/os-labs/)
20:38:01	26302/26302	---MCZ	200	added ('OK')	text/html	etag:W/%22637d7308-66be%22	http://hitsz-cslab.gitee.io/os-labs/lab2/part1/	D:/webs/hitsz/hitsz-cslab.gitee.io/os-labs/lab2/part1/index.html	(from http://hitsz-cslab.gitee.io/os-labs/)
20:38:02	33249/33249	---MCZ	200	added ('OK')	text/html	etag:W/%22637d7308-81e1%22	http://hitsz-cslab.gitee.io/os-labs/lab2/part2/	D:/webs/hitsz/hitsz-cslab.gitee.io/os-labs/lab2/part2/index.html	(from http://hitsz-cslab.gitee.io/os-labs/)
20:38:06	184912/184912	---MCZ	200	added ('OK')	text/plain	etag:W/%22637d7308-2d250%22	http://hitsz-cslab.gitee.io/os-labs/css/fonts/lato-bold.woff2?cccb897485813c7c256901dbca54ecf2	D:/webs/hitsz/hitsz-cslab.gitee.io/os-labs/css/fonts/lato-bold9f03.woff2	(from http://hitsz-cslab.gitee.io/os-labs/css/theme.css)
20:38:06	18783/18783	---MCZ	200	added ('OK')	text/html	etag:W/%22637d7308-495f%22	http://hitsz-cslab.gitee.io/os-labs/lab2/part3/	D:/webs/hitsz/hitsz-cslab.gitee.io/os-labs/lab2/part3/index.html	(from http://hitsz-cslab.gitee.io/os-labs/)
20:38:20	309728/309728	---M--	200	added ('OK')	application/font-woff	etag:%22637d7308-4b9e0%22	http://hitsz-cslab.gitee.io/os-labs/css/fonts/lato-bold.woff?d878b6c29b10beca227e9eef4246111b	D:/webs/hitsz/hitsz-cslab.gitee.io/os-labs/css/fonts/lato-bolda132.woff	(from http://hitsz-cslab.gitee.io/os-labs/css/theme.css)
20:38:20	14507/14507	---MCZ	200	added ('OK')	text/html	etag:W/%22637d7308-38ab%22	http://hitsz-cslab.gitee.io/os-labs/lab2/part4/	D:/webs/hitsz/hitsz-cslab.gitee.io/os-labs/lab2/part4/index.html	(from http://hitsz-cslab.gitee.io/os-labs/)
20:38:43	323344/323344	---M--	200	added ('OK')	application/font-woff	etag:%22637d7308-4ef10%22	http://hitsz-cslab.gitee.io/os-labs/css/fonts/lato-bold-italic.woff?9c7e4e9eb485b4a121c760e61bc3707c	D:/webs/hitsz/hitsz-cslab.gitee.io/os-labs/css/fonts/lato-bold-italic08c2.woff	(from http://hitsz-cslab.gitee.io/os-labs/css/theme.css)
20:38:44	26667/26667	---MCZ	200	added ('OK')	text/html	etag:W/%22637d7308-682b%22	http://hitsz-cslab.gitee.io/os-labs/lab2/part5/	D:/webs/hitsz/hitsz-cslab.gitee.io/os-labs/lab2/part5/index.html	(from http://hitsz-cslab.gitee.io/os-labs/)
20:38:45	193308/193308	---MCZ	200	added ('OK')	text/plain	etag:W/%22637d7308-2f31c%22	http://hitsz-cslab.gitee.io/os-labs/css/fonts/lato-bold-italic.woff2?0b6bb6725576b072c5d0b02ecdd1900d	D:/webs/hitsz/hitsz-cslab.gitee.io/os-labs/css/fonts/lato-bold-italic01fb.woff2	(from http://hitsz-cslab.gitee.io/os-labs/css/theme.css)
20:38:46	25472/25472	---MCZ	200	added ('OK')	text/html	etag:W/%22637d7308-6380%22	http://hitsz-cslab.gitee.io/os-labs/lab3/part1/	D:/webs/hitsz/hitsz-cslab.gitee.io/os-labs/lab3/part1/index.html	(from http://hitsz-cslab.gitee.io/os-labs/)
20:38:54	195704/195704	---MCZ	200	added ('OK')	text/plain	etag:W/%22637d7308-2fc78%22	http://hitsz-cslab.gitee.io/os-labs/css/fonts/lato-normal-italic.woff2?4eb103b4d12be57cb1d040ed5e162e9d	D:/webs/hitsz/hitsz-cslab.gitee.io/os-labs/css/fonts/lato-normal-italicd12e.woff2	(from http://hitsz-cslab.gitee.io/os-labs/css/theme.css)
